Latitude,Longitude,Elevation,Name
1378724.527456592,432340.11939697457,-16.43849090909091,Channel 179
1378722.442547501,432346.85088788363,-16.451145454545454,Channel 180
1378720.35763841,432353.58237879275,-16.463800000000003,Channel 181
1378718.2727293193,432360.3138697018,-16.476454545454548,Channel 182
1378716.1878202283,432367.04536061094,-16.489109090909093,Channel 183
1378714.1029111375,432373.77685152,-16.501763636363638,Channel 184
1378712.0180020465,432380.5083424291,-16.514418181818183,Channel 185
1378709.9330929555,432387.2398333382,-16.527072727272728,Channel 186
1378707.8481838647,432393.9713242473,-16.539727272727273,Channel 187
1378705.7632747737,432400.7028151564,-16.55238181818182,Channel 188
1378703.678365683,432407.4343060655,-16.565036363636366,Channel 189
1378701.593456592,432414.16579697456,-16.57769090909091,Channel 190
1378699.5085475012,432420.8972878837,-16.590345454545457,Channel 191
1378697.4236384102,432427.62877879274,-16.603,Channel 192
1378697.4236384102,432427.62877879274,-16.603,Channel 193
1378696.8056384102,432427.8289037927,-16.618625,Channel 194
1378696.1876384101,432428.02902879275,-16.63425,Channel 195
1378695.5696384101,432428.2291537927,-16.649875,Channel 196
1378694.95163841,432428.42927879276,-16.6655,Channel 197
1378694.33363841,432428.62940379273,-16.681125,Channel 198
1378693.7156384103,432428.82952879276,-16.69675,Channel 199
1378693.0976384103,432429.02965379274,-16.712375,Channel 200
1378692.4796384103,432429.22977879277,-16.728,Channel 201
1378691.8616384102,432429.42990379274,-16.743625,Channel 202
1378691.2436384102,432429.6300287928,-16.75925,Channel 203
1378690.6256384102,432429.83015379275,-16.774875,Channel 204
1378690.0076384102,432430.0302787927,-16.7905,Channel 205
1378689.3896384102,432430.23040379275,-16.806125,Channel 206
1378688.7716384102,432430.4305287927,-16.82175,Channel 207
1378688.1536384101,432430.63065379276,-16.837375,Channel 208
1378687.5356384101,432430.83077879273,-16.853,Channel 209
1378686.91763841,432431.03090379277,-16.868625,Channel 210
1378686.29963841,432431.23102879274,-16.88425,Channel 211
1378685.6816384103,432431.4311537928,-16.899875,Channel 212
1378685.0636384103,432431.63127879275,-16.9155,Channel 213
